Iteration,Training Error,Testing Error
1,1.1525471746659772,0.35473996981539196
2,1.1320949251853167,0.35473995371692996
3,1.11204967520102,0.35473993777945506
4,1.0924033254284355,0.3547399220013573
5,1.0731479377585698,0.35473990638104275
6,1.0542757320506955,0.3547398909169337
7,1.0357790829887832,0.3547398756074679
8,1.0176505170004926,0.354739860451099
9,0.9998827092374762,0.3547398454462959
10,0.9824684806157714,0.3547398305915429
11,0.9654007949150958,0.3547398158853396
12,0.948672755935854,0.3547398013262003
13,0.9322776047127365,0.3547397869126543
14,0.9162087167837527,0.35473977264324574
15,0.9004595995136198,0.35473975851653317
16,0.8850238894704138,0.3547397445310896
17,0.8698953498544191,0.3547397306855023
18,0.8550678679781567,0.3547397169783726
19,0.8405354527965462,0.354739703408316
20,0.8262922324862272,0.3547396899739617
21,0.8123324520730474,0.3547396766739526
22,0.798650471106763,0.3547396635069452
23,0.7852407613820196,0.3547396504716096
24,0.7720979047046742,0.35473963756662885
25,0.7592165907025782,0.3547396247906995
26,0.746591614679918,0.35473961214253097
27,0.7342178755142594,0.35473959962084567
28,0.7220903735954383,0.35473958722437865
29,0.7102042088054665,0.35473957495187775
30,0.6985545785386407,0.35473956280210317
31,0.6871367757610483,0.3547395507738279
32,0.6759461871086883,0.3547395388658366
33,0.6649782910234453,0.3547395270769266
34,0.6542286559261503,0.3547395154059069
35,0.6436929384260015,0.35473950385159886
36,0.6333668815656176,0.35473949241283503
37,0.6232463131010137,0.35473948108846004
38,0.6133271438158052,0.35473946987733007
39,0.6036053658689606,0.35473945877831253
40,0.594077051175432,0.35473944779028643
41,0.5847383498190128,0.3547394369121416
42,0.575585488496779,0.3547394261427794
43,0.5666147689944848,0.3547394154811119
44,0.5578225666923,0.35473940492606215
45,0.549205329100281,0.3547393944765639
46,0.5407595744229884,0.3547393841315617
47,0.5324818901526661,0.3547393738900105
48,0.5243689316904178,0.3547393637508758
49,0.5164174209948216,0.3547393537131335
50,0.5086241452574363,0.35473934377576943
51,0.500985955604668,0.35473933393778007
52,0.4934997658254649,0.35473932419817134
53,0.48616255112433543,0.35473931455595975
54,0.4789713468991786,0.35473930501017115
55,0.4719232475434363,0.3547392955598412
56,0.4650154052720833,0.3547392862040154
57,0.4582450289709783,0.35473927694174867
58,0.4516093830691161,0.35473926777210557
59,0.4451057864333177,0.3547392586941595
60,0.43873161128491994,0.35473924970699383
61,0.43248428213802026,0.3547392408097005
62,0.4263612747588521,0.35473923200138086
63,0.42036011514586735,0.35473922328114516
64,0.4144783785301176,0.35473921464811253
65,0.4087136883955233,0.35473920610141096
66,0.4030637155186444,0.35473919764017703
67,0.3975261770275574,0.3547391892635562
68,0.3920988354794591,0.3547391809707022
69,0.3867794979566299,0.3547391727607773
70,0.3815660151803832,0.35473916463295246
71,0.3764562806426507,0.35473915658640637
72,0.37144822975484704,0.35473914862032646
73,0.36653983901367243,0.3547391407339079
74,0.3617291251835165,0.354739132926354
75,0.3570141444951317,0.3547391251968764
76,0.35239299186025275,0.35473911754469406
77,0.3478638001018461,0.3547391099690341
78,0.3434247391996766,0.3547391024691314
79,0.33907401555088806,0.3547390950442281
80,0.3348098712452973,0.35473908769357443
81,0.33063058335511114,0.35473908041642777
82,0.3265344632387769,0.354739073212053
83,0.32251985585868626,0.3547390660797226
84,0.3185851391124582,0.35473905901871605
85,0.3147287231775276,0.3547390520283199
86,0.31094904986877747,0.3547390451078282
87,0.30724459200895454,0.35473903825654196
88,0.30361385281161263,0.35473903147376895
89,0.30005536527633625,0.3547390247588242
90,0.29656769159599916,0.35473901811102926
91,0.29314942257581794,0.35473901152971266
92,0.28979917706396713,0.35473900501420974
93,0.2865156013935242,0.35473899856386215
94,0.28329736883552076,0.3547389921780185
95,0.28014317906287783,0.35473898585603364
96,0.2770517576250078,0.35473897959726897
97,0.27402185543287333,0.35473897340109245
98,0.27105224825429247,0.35473896726687804
99,0.26814173621928794,0.354738961194006
100,0.26528914333527875,0.35473895518186316
101,0.2624933170119214,0.35473894922984206
102,0.25975312759540486,0.3547389433373415
103,0.2570674679120141,0.3547389375037663
104,0.254435252820777,0.3547389317285271
105,0.25185541877501166,0.35473892601104073
106,0.24932692339260215,0.3547389203507295
107,0.24684874503482232,0.35473891474702174
108,0.24441988239354379,0.35473890919935125
109,0.24203935408665644,0.3547389037071578
110,0.23970619826154138,0.35473889826988664
111,0.23741947220643458,0.35473889288698834
112,0.23517825196952316,0.3547388875579194
113,0.23298163198562372,0.35473888228214145
114,0.2308287247102878,0.3547388770591215
115,0.22871866026119012,0.354738871888332
116,0.226650586066652,0.3547388667692507
117,0.22462366652116028,0.3547388617013605
118,0.22263708264774038,0.35473885668414934
119,0.22069003176704874,0.3547388517171106
120,0.21878172717305033,0.3547388467997425
121,0.21691139781514998,0.35473884193154837
122,0.2150782879866489,0.35473883711203624
123,0.21328165701940213,0.35473883234071957
124,0.21152077898455088,0.3547388276171163
125,0.2097949423992112,0.35473882294074927
126,0.2081034499389991,0.3547388183111461
127,0.20644561815627674,0.3547388137278391
128,0.20482077720400543,0.3547388091903655
129,0.20322827056509343,0.3547388046982668
130,0.20166745478713102,0.3547388002510893
131,0.2001376992224026,0.35473879584838375
132,0.19863838577307402,0.35473879148970544
133,0.19716890864144987,0.35473878717461405
134,0.19572867408520084,0.35473878290267385
135,0.19431710017746245,0.35473877867345316
136,0.1929336165717069,0.35473877448652485
137,0.19157766427129494,0.35473877034146606
138,0.19024869540361328,0.35473876623785794
139,0.18894617299870606,0.3547387621752861
140,0.18766957077231286,0.3547387581533402
141,0.18641837291322297,0.35473875417161393
142,0.18519207387486195,0.3547387502297049
143,0.18399017817102575,0.3547387463272153
144,0.18281220017567912,0.35473874246375064
145,0.18165766392673857,0.3547387386389208
146,0.18052610293375992,0.3547387348523395
147,0.17941705998945254,0.3547387311036241
148,0.178330086984945,0.354738727392396
149,0.1772647447287266,0.35473872371828025
150,0.17622060276919177,0.3547387200809058
151,0.17519723922071628,0.3547387164799053
152,0.17419424059319444,0.35473871291491477
153,0.173211201624968,0.35473870938557445
154,0.17224772511908057,0.35473870589152756
155,0.17130342178278996,0.35473870243242134
156,0.1703779100702743,0.3547386990079062
157,0.16947081602846867,0.3547386956176363
158,0.16858177314596934,0.35473869226126936
159,0.16771042220494442,0.35473868893846616
160,0.1668564111359925,0.3547386856488911
161,0.1660193948758883,0.3547386823922119
162,0.1651990352281604,0.3547386791680995
163,0.1643950007264427,0.35473867597622843
164,0.16360696650054538,0.3547386728162762
165,0.1628346141451911,0.35473866968792356
166,0.16207763159136346,0.35473866659085446
167,0.16133571298021532,0.35473866352475625
168,0.16060855853948658,0.35473866048931907
169,0.15989587446238124,0.35473865748423633
170,0.15919737278885454,0.35473865450920455
171,0.15851277128926297,0.3547386515639232
172,0.1578417933503291,0.35473864864809473
