Iteration,Training Error,Testing Error
173,0.15718416786337622,0.35473864576142466
174,0.1565396291147866,0.35473864290362134
175,0.15590791667864012,0.3547386400743961
176,0.15528877531148894,0.3547386372734632
177,0.15468195484922648,0.3547386345005398
178,0.15408721010600873,0.35473863175534565
179,0.15350430077518662,0.3547386290376035
180,0.1529329913322102,0.3547386263470388
181,0.1523730509394651,0.35473862368338
182,0.1518242533530024,0.35473862104635767
183,0.15128637683112475,0.3547386184357057
184,0.15075920404479168,0.3547386158511604
185,0.15024252198980775,0.3547386132924605
186,0.14973612190075827,0.3547386107593477
187,0.14923979916665742,0.3547386082515661
188,0.14875335324827543,0.35473860576886246
189,0.14827658759711054,0.35473860331098583
190,0.14780930957597363,0.354738600877688
191,0.14735133038115292,0.35473859846872335
192,0.14690246496612827,0.3547385960838482
193,0.14646253196680264,0.354738593722822
194,0.1460313536282223,0.3547385913854061
195,0.1456087557327546,0.3547385890713644
196,0.14519456752969562,0.35473858678046316
197,0.1447886216662781,0.3547385845124711
198,0.14439075412005276,0.3547385822671589
199,0.1440008041326147,0.3547385800442999
200,0.14361861414464944,0.3547385778436696
